language	compound	folder	images	sentence	type pred
Portuguese-Brazil	triângulo amoroso	triângulo amoroso	['45375830528.png', '99835205070.png', '42867503147.png', '36457031671.png', '42709728424.png']	Ao ler no jornal sensacionalista Notícias Cariocas que João estaria em um triângulo amoroso, envolvendo ele, Nicole (Bárbara França) e Quinzinho (Caio Paduan), a jovem perderá o seu chão.	
Portuguese-Brazil	triângulo amoroso	triângulo amoroso	['45375830528.png', '99835205070.png', '42867503147.png', '36457031671.png', '42709728424.png']	Durante a festa das figuras geométricas, o triângulo amoroso tentou conquistar o trapézio resmungão com seus ângulos perfeitos.	
Portuguese-Brazil	triângulo amoroso	triângulo amoroso	['45375830528.png', '99835205070.png', '42867503147.png', '36457031671.png', '42709728424.png']	O triângulo amoroso dançava ao redor do losango tímido, rodopiando para chamar sua atenção.	
Portuguese-Brazil	triângulo amoroso	triângulo amoroso	['45375830528.png', '99835205070.png', '42867503147.png', '36457031671.png', '42709728424.png']	Os três se conheceram em Santos e viveram uma espécie de triângulo amoroso na juventude, até que Nelson foi viver no remoto Acre.	
Portuguese-Brazil	peixe fora dágua	peixe fora dágua	['49907272701.png', '23123013832.png', '79762285990.png', '33722340623.png', '28250751497.png']		
Portuguese-Brazil	joia rara	joia rara	['21627631381.png', '17511302204.png', '34680477514.png', '65956567209.png', '53861059075.png']	A Cachoeira da Formiga (R$ 20) é a joia rara de Mateiros; suas águas lembram esmeraldas, de tão verdes, e contrastam com o branco da areia do fundo.	
Portuguese-Brazil	joia rara	joia rara	['21627631381.png', '17511302204.png', '34680477514.png', '65956567209.png', '53861059075.png']	Acontece que um camisa 9 é uma joia rara no futebol brasileiro, é difícil encontrar.	
Portuguese-Brazil	joia rara	joia rara	['21627631381.png', '17511302204.png', '34680477514.png', '65956567209.png', '53861059075.png']	O jornal do Estado angolano relembra que a De Grisogono tem 16 lojas em todo o mundo, e que recentemente vendeu em leilão uma joia rara e de grande qualidade, produzida a partir do diamante de 404 quilates extraído em 2016 na mina do Lulo.	
Portuguese-Brazil	joia rara	joia rara	['21627631381.png', '17511302204.png', '34680477514.png', '65956567209.png', '53861059075.png']	Pérola é a única que não é uma pedra, não é um mineral, vem dentro de a ostra, é uma joia rara.	
Portuguese-Brazil	bola de neve	bola de neve	['28120546952.png', '24278441674.png', '57972120612.png', '90768984300.png', '18868952669.png']	Carol Oliveira brinca de guerra de bola de neve com os amigos.	
Portuguese-Brazil	bola de neve	bola de neve	['28120546952.png', '24278441674.png', '57972120612.png', '90768984300.png', '18868952669.png']	Em uma câmara de ultravácuo refrigerada a 10 graus acima do zero absoluto (-273,15°C), a equipe havaiana simulou uma bola de neve gelada no espaço, que continha dióxido de carbono, amônia e vários hidrocarbonetos, como metano, etano e propano.	
Portuguese-Brazil	bola de neve	bola de neve	['28120546952.png', '24278441674.png', '57972120612.png', '90768984300.png', '18868952669.png']	Segundo os especialistas, em alguns casos, a margem não deveria ultrapassar 5% da renda mensal para evitar a bola de neve dos juros acumulados.	
Portuguese-Brazil	bola de neve	bola de neve	['28120546952.png', '24278441674.png', '57972120612.png', '90768984300.png', '18868952669.png']	“Nossa primeira questão é o déficit, porque isso vira uma bola de neve”, destaca Bernardes, que assume o cargo no dia 1º de janeiro após cumprir o terceiro mandato como prefeito de Pedreira (SP).	
Portuguese-Brazil	disco voador	disco voador	['89702127166.png', '56329548060.png', '81812230355.png', '21875700862.png', '16788231679.png']	No treinamento de frisbee, cada participante precisava arremessar o disco voador o mais longe possível.	
Portuguese-Brazil	disco voador	disco voador	['89702127166.png', '56329548060.png', '81812230355.png', '21875700862.png', '16788231679.png']	O astrônomo Peter Dunsby está sendo alvo de chacota por ter visto um possível disco voador perto de a Nebulosa Trífida e Laguna.	
Portuguese-Brazil	disco voador	disco voador	['89702127166.png', '56329548060.png', '81812230355.png', '21875700862.png', '16788231679.png']	O disco de vinil antigo virou brinquedo dos netos, que o arremessavam como um disco voador.	
Portuguese-Brazil	disco voador	disco voador	['89702127166.png', '56329548060.png', '81812230355.png', '21875700862.png', '16788231679.png']	Segundo o jornal Le Soir, na noite de 20 de abril de 1974 cerca de cem testemunhas disseram ter visto um disco voador emitindo um som modulado na localidade de Charleroi.	
Portuguese-Brazil	conversa para boi dormir	conversa para boi dormir	['12132211777.png', '19579921039.png', '15451197468.png', '95673053842.png', '32942678477.png']	A conversa para boi dormir do vaqueiro consistia em entoar canções suaves enquanto acariciava o animal.	
Portuguese-Brazil	conversa para boi dormir	conversa para boi dormir	['12132211777.png', '19579921039.png', '15451197468.png', '95673053842.png', '32942678477.png']	Durante o transporte, o vaqueiro usava uma conversa para boi dormir para manter o animal calmo e relaxado.	
Portuguese-Brazil	conversa para boi dormir	conversa para boi dormir	['12132211777.png', '19579921039.png', '15451197468.png', '95673053842.png', '32942678477.png']	Mais uma vez fica provado que a suposta meritocracia defendida pelo prefeito não passa de conversa pra boi dormir.	
Portuguese-Brazil	conversa para boi dormir	conversa para boi dormir	['12132211777.png', '19579921039.png', '15451197468.png', '95673053842.png', '32942678477.png']	O Rodrigo “Botafogo” Maia sabe que não conseguiria se reeleger e vem com conversa pra boi dormir.	
Portuguese-Brazil	ninho de vespas	ninho de vespas	['75858275086.png', '43879153089.png', '66687894653.png', '36013056512.png', '81073715697.png']	Embora o YouTube ostente seu quinhão de vespas gigantes apavorando o mundo animal, há também imagens de um bútio fazendo uma armadilha e emboscando um ninho de vespas.	
Portuguese-Brazil	ninho de vespas	ninho de vespas	['75858275086.png', '43879153089.png', '66687894653.png', '36013056512.png', '81073715697.png']	Eu conheço alguém que teve um grande ninho de vespas dentro de sua casa, como parte de a decoração.	
Portuguese-Brazil	ninho de vespas	ninho de vespas	['75858275086.png', '43879153089.png', '66687894653.png', '36013056512.png', '81073715697.png']	No âmbito cristão, Michael S. Rose mexeu com um ninho de vespas em 2002 ao publicar “Goodbye: Good Men” [“Adeus, Homens de Bem”].	
Portuguese-Brazil	ninho de vespas	ninho de vespas	['75858275086.png', '43879153089.png', '66687894653.png', '36013056512.png', '81073715697.png']	Trump parece ter pisado inadvertidamente em um ninho de vespas, disseram diplomatas e especialistas militares, quando discutiu a natureza da Base Aérea al-Asad, no oeste do Iraque, onde as tropas americanas operam com permissão iraquiana.	
Portuguese-Brazil	dinheiro sujo	dinheiro sujo	['53169071833.png', '90746499634.png', '10232044704.png', '77780368592.png', '70686736940.png']	"Com essas informações, os policiais foram até ao local indicado pelo ""Tião Preto"", onde localizaram o cadáver da vítima caído na mata, assim como dinheiro sujo de sangue e duas bermudas."	
Portuguese-Brazil	dinheiro sujo	dinheiro sujo	['53169071833.png', '90746499634.png', '10232044704.png', '77780368592.png', '70686736940.png']	Imensos lucros que não têm pátria se movimentam pelas bolsas de valores, pelo sistema financeiro oficial, bem como por meio dos paraísos fiscais, que lavam também dinheiro sujo proveniente da corrupção, da prostituição, do tráfico de armas e de drogas.	
Portuguese-Brazil	dinheiro sujo	dinheiro sujo	['53169071833.png', '90746499634.png', '10232044704.png', '77780368592.png', '70686736940.png']	O garoto derrubou o cofrinho na terra do quintal, e passou a tarde lavando o dinheiro sujo de barro.	
Portuguese-Brazil	dinheiro sujo	dinheiro sujo	['53169071833.png', '90746499634.png', '10232044704.png', '77780368592.png', '70686736940.png']	Outros se perguntam até quando os europeus, que se dizem lutar contra o terrorismo, recusarão o dinheiro sujo de paraísos fiscais, dos petrodólares de países que já foram denunciados por financiar treinamento das milícias extremistas, obscurantistas.	
Portuguese-Brazil	cidade fantasma	cidade fantasma	['52977803859.png', '69144097247.png', '27284594739.png', '76359997778.png', '20138594390.png']	A cidade fantasma só podia ser vista pelos místicos, com seus edifícios cintilando sob a luz espectral e habitada por espíritos que caminhavam entre as ruas.	
Portuguese-Brazil	cidade fantasma	cidade fantasma	['52977803859.png', '69144097247.png', '27284594739.png', '76359997778.png', '20138594390.png']	Imóveis desapropriados vazios, canteiros de obras abandonados e locais tomados por moradores de rua são comuns e transformam ruas e alamedas em uma cidade fantasma.	
Portuguese-Brazil	cidade fantasma	cidade fantasma	['52977803859.png', '69144097247.png', '27284594739.png', '76359997778.png', '20138594390.png']	Perto da estação Kobe ela se transforma meio que em uma cidade fantasma, com apenas uma ou outra loja oferecendo brinquedos da era Showa e caixas de controles remotos usados.	
Portuguese-Brazil	cidade fantasma	cidade fantasma	['52977803859.png', '69144097247.png', '27284594739.png', '76359997778.png', '20138594390.png']	À noite, a cidade fantasma surgia para os escolhidos, suas torres translúcidas habitadas por presenças que ninguém mais podia ver.	
Portuguese-Brazil	contar carneirinhos	contar carneirinhos	['44058108069.png', '44521360389.png', '77579809371.png', '64601184162.png', '95821623719.png']	Deitar, fechar os olhos, contar carneirinhos, levantar, beber água, voltar pra cama, ligar e desligar a TV, pegar o computador, o celular, entrar no face, e nada do sono.	
Portuguese-Brazil	contar carneirinhos	contar carneirinhos	['44058108069.png', '44521360389.png', '77579809371.png', '64601184162.png', '95821623719.png']	Durante o passeio pelo pasto, a criança se divertia contando carneirinhos um a um.	
Portuguese-Brazil	contar carneirinhos	contar carneirinhos	['44058108069.png', '44521360389.png', '77579809371.png', '64601184162.png', '95821623719.png']	Não consegui dormir e comecei a contar carneirinhos e mesmo assim não consegui dormir por causa do tiro.	
Portuguese-Brazil	contar carneirinhos	contar carneirinhos	['44058108069.png', '44521360389.png', '77579809371.png', '64601184162.png', '95821623719.png']	O rebanho se movia lentamente, e ele aproveitou para contar carneirinhos enquanto caminhava.	
Portuguese-Brazil	república das bananas	república das bananas	['60604545561.png', '31348726747.png', '25265019728.png', '46920721096.png', '14616891635.png']	A Lenovo já contabiliza seus lucros certos aqui na República das Bananas, onde 2 empresas reinam absolutas, sem concorrentes.	
Portuguese-Brazil	república das bananas	república das bananas	['60604545561.png', '31348726747.png', '25265019728.png', '46920721096.png', '14616891635.png']	Engana-se o governo Bolsonaro achando que, a o fazer o papel de república das bananas das chanchadas da década de 1950 nos Estados Unidos, vai garantir apoio incondicional do mercado nacional e internacional.	
Portuguese-Brazil	república das bananas	república das bananas	['60604545561.png', '31348726747.png', '25265019728.png', '46920721096.png', '14616891635.png']	Na fronteira da República das Bananas, caminhões carregados atravessavam dia e noite, levando a produção da fruta para os países vizinhos.	
Portuguese-Brazil	república das bananas	república das bananas	['60604545561.png', '31348726747.png', '25265019728.png', '46920721096.png', '14616891635.png']	O museu histórico da República das Bananas exibia desde ferramentas tradicionais de cultivo até mapas mostrando a expansão dos bananais ao longo do século.	
Portuguese-Brazil	bala de prata	bala de prata	['55349553158.png', '57364401267.png', '30390395944.png', '37000363160.png', '50421349645.png']	A exemplo do que já disse no começo do ano o ministro da Casa Civil, Jaques Wagner, de que não havia solução mágica ou plano bombástico para a recuperação da economia, agora a avaliação é que não existe bala de prata para sair da crise política.	
Portuguese-Brazil	bala de prata	bala de prata	['55349553158.png', '57364401267.png', '30390395944.png', '37000363160.png', '50421349645.png']	Na história de terror, o herói precisava de uma bala de prata para derrotar o lobisomem.	
Portuguese-Brazil	bala de prata	bala de prata	['55349553158.png', '57364401267.png', '30390395944.png', '37000363160.png', '50421349645.png']	O armeiro cuidadosamente poliu cada bala de prata antes de guardá-las no estojo de couro.	
Portuguese-Brazil	bala de prata	bala de prata	['55349553158.png', '57364401267.png', '30390395944.png', '37000363160.png', '50421349645.png']	Otimização de bancos de dados é um tópico que envolve muitos fatores e, como costumo dizer, não existe bala de prata que possa ser aplicada a todos os casos.	
Portuguese-Brazil	ovelha negra	ovelha negra	['76863499059.png', '45794584206.png', '79025640225.png', '43905886308.png', '78291358737.png']	O tecido original, o soriano, era concebido a partir de lã de ovelha negra da serra.	
Portuguese-Brazil	ovelha negra	ovelha negra	['76863499059.png', '45794584206.png', '79025640225.png', '43905886308.png', '78291358737.png']	Orientado por Circe, a feiticeira, Odisseus, no limite do mundo, cava um buraco quadrado (bothros), faz tripla libação, ora a Persephone e Hades, sacrifica um carneiro e uma ovelha negra e derrama seu sangue no buraco.	
Portuguese-Brazil	ovelha negra	ovelha negra	['76863499059.png', '45794584206.png', '79025640225.png', '43905886308.png', '78291358737.png']	Reich é considerado em os dias de hoje uma ovelha negra dentro de a psicanálise tradicional, mas nem sempre foi assim.	
Portuguese-Brazil	ovelha negra	ovelha negra	['76863499059.png', '45794584206.png', '79025640225.png', '43905886308.png', '78291358737.png']	Toda família tem uma ovelha negra, todo muito tem defeito e eu estou tentando melhorar os meus defeitos, tentando consertar, disse o jornalista, que já estava bastante emocionado.	
Portuguese-Brazil	mamão com açúcar	mamão com açúcar	['55219171007.png', '99693513060.png', '25705922702.png', '70001576990.png', '79428719767.png']	Antigamente, não havia muitas opções de doce, então o lanche da tarde era sempre mamão com açúcar bem amassadinho.	
Portuguese-Brazil	mamão com açúcar	mamão com açúcar	['55219171007.png', '99693513060.png', '25705922702.png', '70001576990.png', '79428719767.png']	De manhã, não faltava na mesa o mamão com açúcar, a laranjada, e meu pai, metido que era, às vezes comprava melão espanhol nas Estâncias Califórnia, em um tempo em que melão era só importado.	
Portuguese-Brazil	mamão com açúcar	mamão com açúcar	['55219171007.png', '99693513060.png', '25705922702.png', '70001576990.png', '79428719767.png']	Na visão do mercado, o trâmite está indo bem e todos estão tranquilos, até porque ninguém esperava que fosse mamão com açúcar, que chegariam e a oposição simplesmente dissesse “beleza, vamos aprovar”.	
Portuguese-Brazil	mamão com açúcar	mamão com açúcar	['55219171007.png', '99693513060.png', '25705922702.png', '70001576990.png', '79428719767.png']	Se você tem um problema na equipe e já diz como vai solucionar, fica muito mamão com açúcar para o técnico da outra equipe — despistou o comandante tricolor.	
Portuguese-Brazil	batata quente	batata quente	['19339785301.png', '81332869580.png', '16000013918.png', '72651256237.png', '40609162890.png']	Descascar é muito mais fácil depois, você só segura a batata quente com uma toalha e ela descasca direto.	
Portuguese-Brazil	batata quente	batata quente	['19339785301.png', '81332869580.png', '16000013918.png', '72651256237.png', '40609162890.png']	Já se foram os dias de descascar e queimar os dedos em uma batata quente.	
Portuguese-Brazil	batata quente	batata quente	['19339785301.png', '81332869580.png', '16000013918.png', '72651256237.png', '40609162890.png']	No entanto, Trump se limitou a não certificar o acordo e jogou a batata quente para o Congresso, que agora precisa decidir se aplicará sanções.	
Portuguese-Brazil	batata quente	batata quente	['19339785301.png', '81332869580.png', '16000013918.png', '72651256237.png', '40609162890.png']	Os ministros do STF pressionaram ao máximo o STJ para ficar com a batata quente e julgar o recurso do petista antes de o julgamento da questão.	
Portuguese-Brazil	colocar a boca no trombone	colocar a boca no trombone	['65115515628.png', '10278275269.png', '19885438002.png', '52928557972.png', '38226044903.png']	Durante a aula, o professor pediu que cada aluno colocasse a boca no trombone para aprender a posição correta dos lábios no instrumento.	
Portuguese-Brazil	colocar a boca no trombone	colocar a boca no trombone	['65115515628.png', '10278275269.png', '19885438002.png', '52928557972.png', '38226044903.png']	No ensaio da banda, todos riam enquanto o novato tentava colocar a boca no trombone sem fazer barulho estranho.	
Portuguese-Brazil	colocar a boca no trombone	colocar a boca no trombone	['65115515628.png', '10278275269.png', '19885438002.png', '52928557972.png', '38226044903.png']	"O mais triste é que a tal ""mídia tradicional"" que deveria estar colocando a boca em o trombone prefere ficar quietinha em troca de dindim de o BNDES!"	
Portuguese-Brazil	colocar a boca no trombone	colocar a boca no trombone	['65115515628.png', '10278275269.png', '19885438002.png', '52928557972.png', '38226044903.png']	Quantas empresas se viram em situações delicadas quando seus consumidores resolveram colocar a boca em o trombone relatando as péssimas qualidades de seus produtos?	
Portuguese-Brazil	coração mole	coração mole	['26367416884.png', '13692084840.png', '51620201321.png', '44108187364.png', '78396171856.png']	Durante a aula de anatomia, a professora explicou que certas doenças podem deixar o coração mole, alterando sua consistência muscular.	
Portuguese-Brazil	coração mole	coração mole	['26367416884.png', '13692084840.png', '51620201321.png', '44108187364.png', '78396171856.png']	"Em ""Green Book"", ele some no papel de Tony Lip (ou Vallelonga), com sua postura de mafioso, machão clichê, mas de coração mole."	
Portuguese-Brazil	coração mole	coração mole	['26367416884.png', '13692084840.png', '51620201321.png', '44108187364.png', '78396171856.png']	No açougue, ele pediu para ver o coração antes de comprar, verificando se estava firme ou se era um coração mole demais para o tipo de cozimento que pretendia.	
Portuguese-Brazil	coração mole	coração mole	['26367416884.png', '13692084840.png', '51620201321.png', '44108187364.png', '78396171856.png']	Você chegou em a minha vida de mansinho, achei que tinha cara de bravo, de bad boy, mas quem te conhece sabe o coração mole que você tem.	
Portuguese-Brazil	lágrimas de crocodilo	lágrimas de crocodilo	['71296960097.png', '96788598603.png', '75030917742.png', '70834460603.png', '86853246795.png']	Cientistas coletaram lágrimas de crocodilo para estudar a composição química de seus fluidos lacrimais.	
Portuguese-Brazil	lágrimas de crocodilo	lágrimas de crocodilo	['71296960097.png', '96788598603.png', '75030917742.png', '70834460603.png', '86853246795.png']	Durante o documentário, o biólogo explicou como as lágrimas de crocodilo ajudam a lubrificar os olhos do animal.	
Portuguese-Brazil	lágrimas de crocodilo	lágrimas de crocodilo	['71296960097.png', '96788598603.png', '75030917742.png', '70834460603.png', '86853246795.png']	Os ataques de Trump à imprensa e a seus opositores democratas são frequentes desde os tempos em que concorria nas eleições de 2016 contra a democrata Hillary Clinton, que tem sido insistentemente insultada pelo presidente — ele a chama, entre outros, de desonesta e de ter lágrimas de crocodilo.	
Portuguese-Brazil	lágrimas de crocodilo	lágrimas de crocodilo	['71296960097.png', '96788598603.png', '75030917742.png', '70834460603.png', '86853246795.png']	Os simpáticos conspiradores estão por aí, quase todos soltos, com muito dinheiro e influência para continuar derramando suas lágrimas de crocodilo sobre 64 enquanto lutam pelo único valor cívico que lhes interessa de fato: poder.	
Portuguese-Brazil	dar um gelo	dar um gelo	['97592951729.png', '55848047504.png', '34196324007.png', '20681890997.png', '81597988193.png']	Antes de servir a limonada, pedi para me dar um gelo para deixá-la bem fria.	
Portuguese-Brazil	dar um gelo	dar um gelo	['97592951729.png', '55848047504.png', '34196324007.png', '20681890997.png', '81597988193.png']	Bateu o ciúme na Emilly e ela foi desabafar com a Marinalva, que aconselhou dar um gelo, uma esnobada e até fazer ciúme nele também.	
Portuguese-Brazil	dar um gelo	dar um gelo	['97592951729.png', '55848047504.png', '34196324007.png', '20681890997.png', '81597988193.png']	No restaurante, pedi para o garçom me dar um gelo para colocar no suco.	
Portuguese-Brazil	dar um gelo	dar um gelo	['97592951729.png', '55848047504.png', '34196324007.png', '20681890997.png', '81597988193.png']	O senador Magno Malta (PR) que, às vezes anda ao lado de Paulo Hartung (PMDB) e noutras quer distância dele, agora resolveu dar um gelo no governador.	
Portuguese-Brazil	bode expiatório	bode expiatório	['94893647653.png', '25428730508.png', '24600818402.png', '31988716291.png', '85182880959.png']	Aqueles que se opuseram à medida argumentaram que López estava sendo usado como bode expiatório e que não era possível afirmar com certeza absoluta que ele havia sido escravista.	
Portuguese-Brazil	bode expiatório	bode expiatório	['94893647653.png', '25428730508.png', '24600818402.png', '31988716291.png', '85182880959.png']	Esses jovens, em formação, tiveram prints de suas conversas do grupo vazados, propositadamente, com o intuito de prejudicá-los e estão sendo submetidos a um julgamento público, cruel e, principalmente, utilizados como bode expiatório por uma imprensa sensacionalista.	
Portuguese-Brazil	bode expiatório	bode expiatório	['94893647653.png', '25428730508.png', '24600818402.png', '31988716291.png', '85182880959.png']	No ritual antigo, eles levavam um bode expiatório até o topo da colina para cumprir a cerimônia.	
Portuguese-Brazil	bode expiatório	bode expiatório	['94893647653.png', '25428730508.png', '24600818402.png', '31988716291.png', '85182880959.png']	O velho xamã explicou que o bode expiatório carregaria as oferendas e bênçãos da comunidade durante a cerimônia religiosa.	
Portuguese-Brazil	esperar a cegonha	esperar a cegonha	['32849842973.png', '76835852944.png', '15480483466.png', '81578586521.png', '38820841327.png']	Durante a caminhada pelo campo, paramos para esperar a cegonha voar sobre a planície.	
Portuguese-Brazil	esperar a cegonha	esperar a cegonha	['32849842973.png', '76835852944.png', '15480483466.png', '81578586521.png', '38820841327.png']	Esse quadro é especial para as mulheres que já são mamães e para aquelas que estão esperando a cegonha chegar.	
Portuguese-Brazil	esperar a cegonha	esperar a cegonha	['32849842973.png', '76835852944.png', '15480483466.png', '81578586521.png', '38820841327.png']	No santuário de aves migratórias, eles esperavam a cegonha regressar de sua viagem anual.	
Portuguese-Brazil	esperar a cegonha	esperar a cegonha	['32849842973.png', '76835852944.png', '15480483466.png', '81578586521.png', '38820841327.png']	O ano está sendo muito importante para algumas famosas: em 2017 tem gente esperando a cegonha pela primeira vez.	
Portuguese-Brazil	mercado de pulgas	mercado de pulgas	['47162067548.png', '92188853504.png', '66239200735.png', '25383704757.png', '90764738124.png']	A paixão por antiguidades marcou mais uma edição do Mercado de Pulgas em Brusque.	
Portuguese-Brazil	mercado de pulgas	mercado de pulgas	['47162067548.png', '92188853504.png', '66239200735.png', '25383704757.png', '90764738124.png']	Além de a exposição de carros, a programação inclui mercado de pulgas, antiguidades e souvenirs, corrida de pedestres, sorteio de brindes.	
Portuguese-Brazil	mercado de pulgas	mercado de pulgas	['47162067548.png', '92188853504.png', '66239200735.png', '25383704757.png', '90764738124.png']	Durante a expedição, encontraram um pequeno mercado de pulgas onde criadores vendiam insetos para pesquisa.	
Portuguese-Brazil	mercado de pulgas	mercado de pulgas	['47162067548.png', '92188853504.png', '66239200735.png', '25383704757.png', '90764738124.png']	No livro infantil, o personagem passeia por um mercado de pulgas, cheio de pequenas aranhas e pulgas saltitantes.	
Portuguese-Brazil	balde de água fria	balde de água fria	['26826843840.png', '17030051420.png', '49865111779.png', '50131672358.png', '54813130709.png']	A expectativa criada nos fãs da animação e o balde de água fria a seguir foi o necessário para despertar a raiva de muitas pessoas, que manifestaram sua decepção com mais de 730 mil dislikes no vídeo oficial da atração.	
Portuguese-Brazil	balde de água fria	balde de água fria	['26826843840.png', '17030051420.png', '49865111779.png', '50131672358.png', '54813130709.png']	A participação de Moro em sabatina em o Senado jogou um balde de água fria nos planos da oposição para criação de uma CPI.	
Portuguese-Brazil	balde de água fria	balde de água fria	['26826843840.png', '17030051420.png', '49865111779.png', '50131672358.png', '54813130709.png']	Por vezes, é melhor lavar a roupa à mão num balde de água fria, e isto é recomendado se a peça não estiver muito suja e não necessitar de muita remoção de nódoas.	
Portuguese-Brazil	balde de água fria	balde de água fria	['26826843840.png', '17030051420.png', '49865111779.png', '50131672358.png', '54813130709.png']	Você podia adicionar um balde de água fria do banheiro pra baixar um pouco a temperatura.	
Portuguese-Brazil	bicho de sete cabeças	bicho de sete cabeças	['80060629770.png', '21437493829.png', '22587925400.png', '15719249664.png', '41987468937.png']	No circo, apresentaram uma criatura mecânica impressionante: um enorme bicho de sete cabeças que se movia e rugia ao mesmo tempo.	
Portuguese-Brazil	bicho de sete cabeças	bicho de sete cabeças	['80060629770.png', '21437493829.png', '22587925400.png', '15719249664.png', '41987468937.png']	No conto fantástico, o herói precisava derrotar um terrível bicho de sete cabeças que cuspia fogo e espalhava destruição por onde passava.	
Portuguese-Brazil	bicho de sete cabeças	bicho de sete cabeças	['80060629770.png', '21437493829.png', '22587925400.png', '15719249664.png', '41987468937.png']	É preciso não ver a matemática como um bicho de sete cabeças, mas como algo com que você pode se divertir.	
Portuguese-Brazil	bicho de sete cabeças	bicho de sete cabeças	['80060629770.png', '21437493829.png', '22587925400.png', '15719249664.png', '41987468937.png']	É uma cirurgia que, para um cirurgião bem treinado, não é um bicho de sete cabeças como foi aquela do dia 12 de setembro.	
Portuguese-Brazil	cara de pau	cara de pau	['78616399221.png', '51545071510.png', '60117551079.png', '20560794981.png', '45971486066.png']	A vilã está bisbilhotando a casa de o ex-namorado na maior cara de pau, mas sua farra dura pouco.	
Portuguese-Brazil	cara de pau	cara de pau	['78616399221.png', '51545071510.png', '60117551079.png', '20560794981.png', '45971486066.png']	Há candidato com tamanha cara de pau que declara simplesmente não ter patrimônio.	
Portuguese-Brazil	cara de pau	cara de pau	['78616399221.png', '51545071510.png', '60117551079.png', '20560794981.png', '45971486066.png']	O boneco, com cara de pau e olhos de vidro, parecia observar todos que passavam pela vitrine.	
Portuguese-Brazil	cara de pau	cara de pau	['78616399221.png', '51545071510.png', '60117551079.png', '20560794981.png', '45971486066.png']	O escultor criou uma marionete com uma expressão tão viva que ninguém acreditava que ela tinha, de fato, cara de pau.	
Portuguese-Brazil	sangue azul	sangue azul	['57171650985.png', '98927213467.png', '75650688435.png', '32089499857.png', '23432743778.png']	A maioria das pessoas no mundo não sabe que sua saúde pode depender de um caranguejo de sangue azul de aparência estranha.	
Portuguese-Brazil	sangue azul	sangue azul	['57171650985.png', '98927213467.png', '75650688435.png', '32089499857.png', '23432743778.png']	Mesmo se casando com um príncipe, Meghan não será, oficialmente, uma princesa, e isso acontece porque, de acordo com os protocolos da família real britânica, somente quem tem sangue azul  pode receber esse título.	
Portuguese-Brazil	sangue azul	sangue azul	['57171650985.png', '98927213467.png', '75650688435.png', '32089499857.png', '23432743778.png']	Nada como um príncipe para turbinar o noticiário, independentemente da qualidade do sangue azul que corre nas veias da realeza.	
Portuguese-Brazil	sangue azul	sangue azul	['57171650985.png', '98927213467.png', '75650688435.png', '32089499857.png', '23432743778.png']	Outro animal com sangue azul é o polvo-comum (Octopus vulgaris), e isso também se deve à presença de hemocianina.	
Portuguese-Brazil	mina de ouro	mina de ouro	['64518008046.png', '45701724469.png', '77027776164.png', '45156116454.png', '80966886914.png']	A reforma da previdência, qual seja, o fim da aposentadoria, é outra mina de ouro para os banqueiros.	
Portuguese-Brazil	mina de ouro	mina de ouro	['64518008046.png', '45701724469.png', '77027776164.png', '45156116454.png', '80966886914.png']	No México, a canadense Goldcorp desenvolve um sistema de filtragem de rejeitos na mina de ouro de Peñasquito, terceira maior de o mundo.	
Portuguese-Brazil	mina de ouro	mina de ouro	['64518008046.png', '45701724469.png', '77027776164.png', '45156116454.png', '80966886914.png']	Pelo menos 30 pessoas morreram no desabamento de uma mina de ouro ilegal no nordeste de o Afeganistão neste domingo.	
Portuguese-Brazil	mina de ouro	mina de ouro	['64518008046.png', '45701724469.png', '77027776164.png', '45156116454.png', '80966886914.png']	Um dos jogos mais populares da rede, League of Legends se consolida como mina de ouro no universo dos esportes eletrônicos.	
Portuguese-Brazil	engolir sapo	engolir sapo	['82420557678.png', '58060737122.png', '50275420938.png', '81080326488.png', '25038902911.png']	No desafio do reality show, ele precisou engolir sapos inteiros diante das câmeras.	
Portuguese-Brazil	engolir sapo	engolir sapo	['82420557678.png', '58060737122.png', '50275420938.png', '81080326488.png', '25038902911.png']	O personagem do livro de aventura acabou por engolir sapos para saciar a fome durante a travessia da floresta.	
Portuguese-Brazil	engolir sapo	engolir sapo	['82420557678.png', '58060737122.png', '50275420938.png', '81080326488.png', '25038902911.png']	Quando fiz 30 anos e cansada de engolir sapo, decidi começar um novo capítulo que envolveu muitas horas de terapia, leituras, silêncio, reflexão, meditação, tarô, mapa astral, muitos rituais e tudo mais o que você puder imaginar.	
Portuguese-Brazil	engolir sapo	engolir sapo	['82420557678.png', '58060737122.png', '50275420938.png', '81080326488.png', '25038902911.png']	Se a mulher se sentir ofendida de alguma forma, não pode engolir sapo e fingir que nada ocorreu, pois, dessa forma, acabará acontecendo com outras.	
Portuguese-Brazil	livro fechado	livro fechado	['18526005858.png', '31646793500.png', '95358893101.png', '76885035437.png', '44064293522.png']	A santa é retratada em pé, segurando a filha com uma mão e um livro fechado em a outra.	
Portuguese-Brazil	livro fechado	livro fechado	['18526005858.png', '31646793500.png', '95358893101.png', '76885035437.png', '44064293522.png']	Apesar de trabalharem juntos há anos, ele ainda é um livro fechado e ninguém sabe o que realmente pensa.	
