language	nc	image	caption
Chinese	黄金生育年龄	42671974211.png	The image depicts a stylized, animated character of a woman pushing a stroller. The woman has dark hair tied in a bun, wears a black coat, and has a handbag slung over her shoulder. She is standing on a flat surface, and the stroller has a large orange canopy and a black frame. The background is plain and white, emphasizing the subject. There is no visible text in the image.
Chinese	黄金生育年龄	96809656906.png	The image shows a stylized hourglass with a transparent body and a black top and bottom. The hourglass is filled with a scene that resembles a desert landscape with sand dunes, mountains, and a few scattered rocks. The scene is depicted in a warm, orange color, giving the impression of a sunset or sunrise. The hourglass is placed on a flat surface, and there is no visible text in the image. The style of the image is graphic and appears to be a digital illustration.
Chinese	黄金生育年龄	13964012841.png	The image depicts a stack of orange, textured blocks with a glossy finish. The blocks are arranged in a pyramid shape, with the largest at the bottom and the smallest at the top. There are a few small rocks scattered around the base of the stack. The background is plain white, emphasizing the vibrant color of the blocks. There is no visible text in the image.
Chinese	高屋建瓴	34090365312.png	The image shows a circular porthole with a rusted metal frame. The porthole is set into a dark background. Through the porthole, a city skyline is visible, with a prominent skyscraper in the center. The sky is overcast, and the water appears calm. The porthole is encrusted with rust and has several small droplets of water on its surface. There is no visible text in the image. The style of the image is realistic with a focus on the contrast between the rusted porthole and the urban landscape beyond.
Chinese	高屋建瓴	76781677360.png	The image depicts an animated scene of a person, dressed in traditional Japanese attire, standing on a tower-like structure. The individual is holding a large watering can and appears to be pouring water from it. The water is flowing downward, creating a dynamic splash effect. The tower is surrounded by lush greenery, including trees and foliage, suggesting a natural, possibly rural setting. The architecture of the tower has a traditional Japanese design, with a thatched roof and wooden elements. The overall style of the image is illustrative and colorful, with a focus on the interaction between the person and the water.
Chinese	高屋建瓴	83140648741.png	The image shows a person standing on a platform at a high elevation, overlooking a cityscape. The individual is wearing a hard hat, a high-visibility vest, and a backpack. They appear to be engaged in some form of construction or maintenance work, as suggested by the equipment and the environment. The platform is part of a tall structure with a metal frame, and the person is standing on the edge, looking out over the city. The sky is overcast, and the visibility is somewhat hazy, which gives the image a somewhat muted color palette. There is no visible text in the image.
Chinese	高屋建瓴	46260760960.png	The image is a stylized, isometric illustration of a cityscape. It features a dense cluster of buildings, predominantly in shades of orange and brown, with some green and white accents. The buildings vary in height and design, suggesting a mix of residential, commercial, and possibly institutional structures. The city is depicted as an island, with a body of water surrounding it. There are small boats visible on the water. The sky is a plain white, and there are no visible texts or distinguishing marks that provide additional context or information. The style of the image is reminiscent of a digital rendering or a 3D model, with a clean and modern aesthetic.
Chinese	高屋建瓴	89253002720.png	The image shows a person standing on a rocky outcrop. The person is wearing an orange jacket and a backpack, and appears to be looking out over a landscape. The background is a gradient of light to dark, suggesting either dawn or dusk, and the sky is overcast. The person's pose is one of contemplation or observation. There is no visible text in the image.
Chinese	黑市	69967805441.png	The image is a vibrant and colorful illustration depicting a lively scene of a farmers market. The market is bustling with people, some of whom are standing and interacting with each other, while others are seated at tables laden with fresh produce. The tables are filled with a variety of fruits and vegetables, including pumpkins, oranges, apples, and bananas.  In the foreground, there are several characters engaged in different activities. Some are shopping, while others are selling their goods. The market is set up with stalls and stands, and there are various items for sale, such as baskets, bottles, and bags.  In the background, there's a truck parked, possibly for deliveries. The overall atmosphere of the image is one of community and commerce, with a focus on fresh, local produce. The image is rich in detail and color, capturing the essence of a farmers market.
Chinese	黑市	55681093226.png	The image shows a vibrant and colorful display of various fruits and beverages. On the left side, there are oranges and apples arranged in a neat row on a shelf. The oranges are bright and fresh, while the apples have a glossy finish. The fruits are set against a white background.  On the right side, there is a similar arrangement of fruits and beverages. The fruits include oranges, apples, and possibly other fruits, all of which are depicted in a realistic and appealing manner. The beverages are in bottles and cans, with labels that are not clearly legible.  The overall style of the image is a 3D rendering with a focus on realism, likely intended for commercial or promotional purposes. The image is symmetrical, with the left and right sides mirroring each other. There is no visible text in the image.
Chinese	黑市	52312161386.png	The image depicts a vibrant fruit stand with a black canopy and orange trim. The stand is filled with a variety of fresh fruits, including oranges, apples, and bananas. There are also several bottles, possibly containing juice or other beverages, arranged on the stand. The stand is set against a backdrop of a black curtain, and there are two potted plants on either side, adding a touch of greenery to the scene. The overall image gives a sense of a lively outdoor market.
Chinese	黑市	34457026645.png	The image is a stylized illustration featuring two animated characters in a dark alleyway. On the left, there is a character with dark hair, wearing a yellow jacket and black pants, standing next to a large, yellow sack labeled with a dollar sign. On the right, there is a character with a bald head, wearing a suit and tie, standing in front of a brick wall with a window. The character on the right is holding a briefcase and appears to be looking at the character with the sack. The alleyway is littered with trash and coins, and there is a street lamp hanging overhead. The overall atmosphere is moody and suggests a scene of intrigue or exchange.
Chinese	黑市	52983111739.png	The image depicts an illustration of a person's arm and hand holding a box filled with various watches. The watches are of different styles and colors, with some featuring orange and black designs, while others have silver and black straps. The person is wearing a dark suit with a white shirt and a tie, suggesting a formal or professional setting. The background is plain and does not provide any additional context. There is no visible text in the image.
Chinese	秘密行动	83397031833.png	The image is a stylized illustration of a group of people walking in a line. The characters are depicted in a simplified, cartoon-like manner with minimal detail. The individuals vary in height and attire, suggesting a diverse group. Some are carrying handbags, and one person is wearing a backpack. The background is plain white, which contrasts with the characters and emphasizes the line formation. There is no visible text in the image. The style of the illustration is reminiscent of a comic or graphic novel, with a focus on character design and movement.
Chinese	秘密行动	43253634012.png	The image shows a stack of orange folders with a glossy finish. Each folder has a white label in the center. The folders are tied together with a rope, which is tied in a bow at the top. The background is plain white, emphasizing the folders.
Chinese	秘密行动	95188225048.png	The image depicts three construction workers on a scaffolding structure. They are wearing hard hats and high-visibility vests, with one worker on the top level, one on the middle level, and one on the bottom level. The scaffolding is made of metal beams and wooden planks, with safety cones placed at the base. The workers are equipped with tools and appear to be engaged in construction work. The background is plain and does not provide any additional context. There is no visible text in the image.
Chinese	秘密行动	11188711532.png	The image features a stylized illustration of a person wearing a camouflage uniform and a helmet with a visor. The helmet has a black visor with two large, orange-rimmed goggles attached to it. The person is also wearing a black face mask with two black, circular eye holes. The uniform appears to be a military-style outfit with a pattern that resembles camouflage. There is no visible text in the image. The style of the image is digital art with a realistic yet stylized aesthetic.
Chinese	秘密行动	98351288710.png	The image depicts a stylized, silhouetted figure standing in a doorway with a bright, orange light emanating from behind. The figure appears to be looking out into the darkness. The background is a solid, dark color, which contrasts with the bright light. The figure is wearing a dark outfit and has short hair. There is no visible text in the image. The style of the image is reminiscent of a digital painting or illustration.
Chinese	互相推诿	29618699566.png	The image is a stylized illustration featuring a group of five cartoon characters standing around a large, cracked vase. The vase is brown with a visible crack running down its center. Above the vase, there is a large orange triangle with a smaller orange triangle inside it, suggesting a three-dimensional perspective. The characters are depicted with exaggerated features, such as large eyes and stylized hair, and are dressed in simple, colorful outfits. The characters are pointing at the vase, with one character on the left side of the image pointing directly at the vase, while the others are pointing in various directions. There is no visible text in the image. The style of the illustration is reminiscent of a children's book or a cartoon.
Chinese	互相推诿	64315997906.png	The image is a stylized illustration featuring two animated characters, a man and a woman, interacting with a large rock. The man is on the left side of the image, dressed in a suit with a tie, and is holding the rock with both hands. He appears to be in a state of exertion or struggle. The woman is on the right, wearing a dress with a bow in her hair, and is also holding the rock, but with one hand. She seems to be assisting the man or perhaps trying to take the rock from him. The rock itself is gray with patches of brown, suggesting it might be a boulder or a large stone. The characters are drawn in a cartoon style with exaggerated features, and there is no visible text in the image. The background is plain white, which puts the focus entirely on the characters and the rock.
Chinese	互相推诿	30922721891.png	The image depicts two animated characters, both appearing to be young girls, engaged in a playful activity. The girl on the left is holding a black balloon, while the girl on the right is holding an orange balloon. Both characters are wearing dresses with plaid patterns and have exaggerated hairstyles. The girl on the left is making a surprised or excited facial expression, with her mouth open and eyes wide. The girl on the right is also making a facial expression, with her mouth open and eyes focused on the balloons. The balloons are large and appear to be floating in the air between the characters. The background is plain white, emphasizing the characters and their balloons. There is no visible text in the image. The style of the image is cartoonish and whimsical, with a focus on bright colors and expressive characters.
Chinese	互相推诿	14013898186.png	The image depicts a group of four animated children, two boys and two girls, standing on a small, grassy area with a stone wall. The children are dressed in casual, colorful clothing with a mix of orange and yellow hues. The girl on the left has red hair and is wearing a dress with orange polka dots. The boy next to her is wearing a white shirt and orange pants. The girl on the right has black hair and is wearing a yellow dress with orange flowers. The boy on the right has brown hair and is wearing a yellow shirt and green shorts. They all appear to be smiling and are looking towards the viewer.  In the background, there is a large tree with green leaves and orange flowers. The tree is situated to the left of the children. The ground is covered with grass, and there are small plants and flowers scattered around the area. The overall style of the image is cartoonish and whimsical, with a focus on bright colors and a cheerful atmosphere.
Chinese	互相推诿	63395425951.png	The image is a digital illustration featuring two stylized figures, each with a simplistic, cartoon-like design. The figure on the left is an orange stick figure with a large, round head, a body with two arms, and a pair of legs. It is pointing its right arm towards the right side of the image. The figure on the right is a similar stick figure, but with a yellow body and a smaller, round head. It is also pointing its right arm towards the right side of the image.  Between the two figures, there is a group of smaller stick figures, all in black and white, with various poses and expressions. They appear to be in a state of chaos or confusion, with some looking up and others looking down. The background is plain white, and there are no visible texts or additional elements in the image. The style of the image is minimalistic and appears to be designed to convey a concept or message through the use of simple shapes and colors.
Chinese	菩萨心肠	20919581630.png	The image depicts a stylized, transparent figure of a Buddha in a meditative pose. The Buddha is illuminated from within, with a bright, glowing light emanating from the chest area, suggesting a sense of enlightenment or inner peace. The figure is seated on a cushion, and the background is a solid, dark color, which contrasts with the translucent figure and highlights its presence. There is no visible text in the image. The style of the image is digital art with a focus on a minimalist and serene aesthetic.
Chinese	菩萨心肠	41755593497.png	The image is a digital illustration featuring two animated characters. On the left, there is a young boy with brown hair, wearing a brown shirt with a white name tag on the left side of his chest. He has a distressed expression, with his eyes closed and a frown on his face. On the right, there is an adult female with brown hair tied up in a bun, wearing glasses and an orange shirt with a black collar. She is kneeling down next to the boy, with her hand on his shoulder, and appears to be comforting or helping him. The background is plain and does not provide any additional context. There is no visible text in the image.
Chinese	菩萨心肠	81950799313.png	The image depicts an animated scene with two characters. On the left, there is an older man with a white beard, wearing a patterned coat, a hat, and carrying a backpack. He is extending his hand towards a younger man on the right, who is crouching and wearing a hat and a patterned coat. The older man is holding a bag with a dollar sign on it. The background is plain and does not provide any additional context. There is no visible text in the image. The style of the image is cartoonish and appears to be designed for a story or illustration.
Chinese	菩萨心肠	60751499134.png	The image features a stylized, animated character with curly black hair adorned with orange dots. The character has a heart-shaped object in their hands, which they are holding close to their chest. The character is wearing a yellow top and has a small green plant with leaves extending from the right side of the image. The background is plain white. There is no visible text in the image.
Chinese	菩萨心肠	67058282031.png	The image depicts an animated character, a young person wearing an orange jacket, a beige hat, and orange shoes, walking past a refrigerated display case filled with various fruits and vegetables. The character is carrying a green backpack. The display case contains items such as oranges, apples, and broccoli, with price tags visible on some items. The background is a simple, neutral color, providing a clear contrast to the colorful character and the vibrant produce.
Chinese	死胡同	56904263597.png	The image is a stylized illustration of a maze with a central orange path. The maze is filled with various characters, each depicted in a simplistic, cartoon-like style. The characters are scattered throughout the maze, some standing alone, others in small groups. The maze itself is black, with the orange path providing a clear contrast. There is no visible text in the image. The style of the illustration is reminiscent of a digital or graphic art piece, with a flat design and a limited color palette.
Chinese	死胡同	63992868407.png	The image depicts a stylized road leading towards a mountainous landscape under a partly cloudy sky. The road is marked with a solid yellow line on the right side. The environment is arid with sparse vegetation, and the mountains in the distance appear to be snow-capped. There are several birds flying in the sky above the road. The overall style of the image is reminiscent of a digital painting with a limited color palette.
Chinese	死胡同	47730804870.png	The image depicts an animated scene featuring a character standing in front of a large, cluttered bulletin board. The character is wearing a brown coat, a hat, and is holding a magnifying glass. The board is covered with various papers, photographs, and stickers, suggesting a busy or investigative environment. Below the board, there is a wooden desk with a lamp and a small model of a train. The character appears to be examining the board, possibly searching for information. The overall style is cartoonish with a muted color palette.
Chinese	死胡同	92675110697.png	The image depicts a stylized, three-dimensional brick wall with a central opening. The wall is constructed of red bricks with visible mortar lines, and it appears to be in a state of disrepair, with some bricks missing and others showing signs of wear. The opening in the wall is framed by a dark, ornate metal structure that resembles a lantern or light fixture, with a visible bulb. The ground in front of the wall is a dark, textured surface that could be interpreted as concrete or asphalt. There is no visible text in the image. The style of the image is illustrative, with a focus on texture and detail, particularly in the brickwork and the metal fixture.
Chinese	死胡同	21888824781.png	The image depicts a person walking down a narrow street between two tall buildings. The buildings are made of brick and have fire escapes on their sides. The street is illuminated by street lamps, and the person is carrying a backpack. The sky is overcast, and the lighting suggests it might be early morning or late evening. There are no visible texts in the image. The style of the image is realistic with a focus on the play of light and shadow, creating a somewhat moody atmosphere.
Chinese	贵族血统	62817166096.png	The image depicts a stylized, animated family tree with a variety of characters. At the base of the tree, there are several characters standing and sitting, including adults and children. They are dressed in a range of outfits, suggesting a diverse family. The characters are drawn in a cartoon style with exaggerated features and bright colors.  The tree itself has a thick trunk and a full canopy of leaves, which are rendered in shades of orange and yellow, suggesting a fall season. The leaves are detailed and realistic, contrasting with the more stylized characters.  The characters are arranged in a way that suggests a family gathering or a family portrait. They are positioned around the tree, with some standing closer to the camera and others further away, creating a sense of depth.  There is no visible text in the image. The relationships between the characters are not explicitly stated, but the arrangement of the characters around the tree suggests a familial connection, possibly representing generations of a family. The image is designed to be visually appealing and to convey a sense of warmth and togetherness.
Chinese	贵族血统	84298469539.png	The image depicts a stylized, animated family of four characters, likely from a fantasy or historical setting. The characters are dressed in elaborate, detailed costumes that suggest a royal or noble status.  On the left, there is a female character with blonde hair, wearing a long, orange dress with a white bodice and a large, intricate necklace. She is adorned with a crown and has a regal posture.  In the center, there is a male character with a beard and mustache, wearing a dark blue suit with a white cape and a crown. He is holding a scepter in his right hand and has a confident expression.  To the right, there are two female characters. The one on the far right is wearing a white dress with a floral pattern and a large, ornate headpiece. She is holding a small, round object in her left hand.  The character in the middle, between the two females, is a young girl with blonde hair, wearing a white dress with a floral pattern and a smaller headpiece. She is holding a small, round object in her right hand.  The characters are standing close together, suggesting a family unit. There is no visible text in the image. The style of the image is reminiscent of a digital painting or a high-quality animated film.
Chinese	贵族血统	33692363996.png	The image features two animated characters, a male and a female, both depicted in a cartoon style. The male character is seated on the left side of the image, wearing a crown, a robe with a fur collar, and a necklace with a pendant. The female character is seated on the right, wearing a crown, a dress with a ruffled hem, and a necklace with a pendant. Both characters are smiling and appear to be in a friendly or amicable pose. There is no visible text in the image. The characters are the central focus, and their attire and expressions suggest a theme of royalty or nobility.
Chinese	贵族血统	52941324175.png	The image depicts a stylized, cartoon-like illustration of a castle perched atop a hill. The castle is constructed from orange bricks and features multiple towers, a central keep, and flags flying from the top of the towers. A winding path with orange hues leads up to the castle, and the hill is dotted with trees and rocks. The sky is clear and white, providing a stark contrast to the vibrant colors of the castle and the surrounding landscape. There is no visible text in the image.
Chinese	贵族血统	70317057163.png	The image is a digital illustration featuring six stylized cartoon characters, three male and three female, standing side by side. They are depicted with exaggerated facial features, such as large eyes and small noses, which is characteristic of a certain style of cartoon art. The characters are dressed in a variety of outfits, including dresses, skirts, and suits, suggesting a diverse group. The background is plain white, which puts the focus entirely on the characters. There is no visible text in the image. The characters are arranged in a row, with the males on the left and the females on the right. The style of the illustration is playful and colorful, with a limited color palette that includes shades of orange, black, and gray.
Chinese	蓝图	62998003494.png	The image depicts a stylized, cartoon-like illustration of a man wearing a hard hat and glasses, standing in front of a modern building. He is holding a clipboard and appears to be examining or reviewing some documents. The man is dressed in a suit with a tie and is wearing brown shoes. The building behind him has a crane and various construction elements visible, suggesting it is under construction. There are no visible texts in the image. The style of the illustration is clean and minimalistic, with a limited color palette.
Chinese	蓝图	16011893767.png	The image shows a stylized, cartoon-like illustration of a wooden bookshelf with two shelves. The shelves are filled with books of various sizes and colors, predominantly in shades of blue and orange. The books are arranged in a somewhat haphazard manner, with some books standing upright and others lying flat. The bookshelf is set against a plain white background. There is no visible text on the books or in the image. The style of the illustration is playful and colorful, with a focus on the books themselves rather than the bookshelf.
Chinese	蓝图	49679618064.png	The image shows a hand holding a pen with an orange grip, poised to write on a white surface. The pen is angled towards the bottom right corner of the image. On the surface, there are several small, colorful illustrations of various scenes and characters, including people, houses, and vehicles. The illustrations are not detailed but suggest a playful or child-friendly theme. The style of the image is illustrative and cartoonish.
Chinese	蓝图	57680564361.png	The image shows a hand holding a black pen over a notebook. The notebook is open and has a variety of colorful illustrations on its pages. The illustrations depict a range of characters and scenes, including people, animals, and objects. The style of the illustrations is cartoonish and appears to be designed for a children's book or a similar type of publication. The hand is positioned as if the person is writing or drawing on the notebook. There is no visible text in the image.
Chinese	蓝图	33669684141.png	The image is a stylized, cartoon-like illustration of a fantasy landscape. It features a large island with a variety of terrain, including grassy areas, rocky cliffs, and a body of water. The island is surrounded by smaller islands and is encircled by a vast expanse of water. The sky above is filled with clouds, and there are a few birds flying in the distance. The overall style is whimsical and colorful, with a limited color palette that gives it a cohesive look. There is no visible text in the image.
Chinese	售票处	52341276245.png	The image depicts a line of people waiting at a ticket counter in what appears to be an airport or train station. The line is orderly, with individuals standing behind a barrier, and they are dressed in a variety of casual attire. The counter is equipped with multiple ticket machines, and there are signs with information or directions above the counter. The ceiling has recessed lighting, and the overall atmosphere suggests a public transportation hub. The image is stylized with a limited color palette and a flat design aesthetic.
Chinese	售票处	10786598161.png	The image depicts a line of people waiting outside a building at night. The line is long and extends from the foreground into the background. The individuals in the line are various ages and genders, and they are dressed in a range of casual clothing. The building has a sign with text that is not fully legible due to the angle and distance, but it appears to be a commercial or public establishment. The lighting is focused on the entrance of the building, creating a dramatic effect with the light shining on the people in line. The overall style of the image is illustrative, with a limited color palette and a flat design quality.
Chinese	售票处	34803822721.png	The image depicts a group of stylized, cartoon-like characters standing in a line at a counter. The characters are diverse in appearance, with various hairstyles, clothing styles, and accessories. They are holding items such as handbags and what appears to be a ticket or a card. Above the characters, there are several orange rectangles with a white symbol on them, suggesting they might be tickets or coupons. The counter has a black surface and a laptop on it. The background is plain white, emphasizing the characters and the counter. There is no visible text in the image. The style of the image is illustrative and appears to be designed for a children's book or a similar medium.
Chinese	售票处	72074217009.png	The image depicts a line of people waiting at an ATM. The ATM is orange with the word ""ATM"" in white letters. Above the ATM, there is a tree with a full canopy. The people in line are dressed in various styles of clothing, suggesting a diverse group. The background is a plain, light color, providing a neutral backdrop that highlights the scene. The image is stylized with a flat design aesthetic, using solid colors and simple outlines.
Chinese	售票处	15526113624.png	The image depicts an animated scene with two characters. On the left, there is a young boy with dark hair, wearing a suit and tie, holding a ticket in his hand. He is smiling and appears to be presenting the ticket to the person on the right. The boy is standing in front of a counter with a glass window.  Behind the counter, there is an adult male with short dark hair, wearing a suit and tie. He is seated at the counter, looking at the boy with a smile. The man is behind a cash register and there are two cups of popcorn on the counter in front of him.  The counter has a sign above it that reads ""TICKETS"" in bold orange letters. The background is plain white, emphasizing the characters and the counter. The style of the image is cartoonish and colorful, with a focus on friendly interaction.
Chinese	孔雀东南飞	20109023758.png	The image depicts a group of graduates walking in a line under an airplane. The graduates are dressed in traditional academic regalia, which includes black gowns and square-shaped caps. They are carrying yellow backpacks and some are holding suitcases. The airplane is a large, orange commercial jet with two engines visible on the wings. The background is plain white, emphasizing the subjects. There is no visible text in the image. The style of the image is illustrative, with a focus on color and detail to convey the scene.
Chinese	孔雀东南飞	82595475312.png	The image is a digital illustration featuring six cartoon children engaged in play. Each child has a distinct hairstyle and is wearing casual clothing. They are seated on the ground and appear to be interacting with various objects.  In the top left, a child with curly hair is holding a small, triangular-shaped object that resembles a castle. To the right, another child is holding a similar object, but it is a larger, more detailed castle shape.  In the top right, a child with long hair is wearing a crown and is holding a small, square-shaped object that could be a block.  In the bottom left, a child with red hair is building a structure with gray blocks.  In the bottom center, a child with black hair is also building a structure with gray blocks, but the structure is taller and more complex.  In the bottom right, a child with brown hair is holding a small, square-shaped object that could be a block, and the child is smiling.  The children are all smiling and seem to be enjoying their playtime. There is no visible text in the image. The style of the illustration is whimsical and child-friendly, with a focus on bright colors and simple shapes.
Chinese	孔雀东南飞	96790065579.png	The image features a stylized illustration of a peacock perched on a rock. The peacock has a long, colorful tail with a mix of orange, blue, and green feathers. It has a green head with a crest of black and green feathers. The peacock is standing on a rock with a fence in the foreground. Behind the rock, there is a small building with a brick facade and a green roof. To the left of the rock, there is a tree with green leaves. The background is plain white, emphasizing the colorful peacock and the surrounding elements. There is no visible text in the image.
Chinese	孔雀东南飞	97332761221.png	The image features a stylized depiction of a bird in flight. The bird has a prominent orange and yellow plumage with a long, pointed tail. It appears to be a type of bird with a crest on its head. The background is a soft, out-of-focus landscape with greenery and a hint of a mountainous terrain. The style of the image is illustrative and seems to be digitally rendered. There is no visible text in the image.
Chinese	孔雀东南飞	93151689566.png	The image depicts an animated character, a scientist, standing on a stool and interacting with a large chalkboard. The chalkboard is filled with mathematical equations and diagrams, including a large number ""2"" and various mathematical symbols. The scientist is wearing glasses, a white lab coat, and brown pants. In front of the chalkboard, there are several beakers and flasks, some of which are filled with a yellow liquid. The scientist is holding a black object that appears to be a tool or device. The background is plain white, emphasizing the subject. There is no visible text in the image.
Chinese	难于登天	53685009851.png	The image depicts a whimsical scene with five cartoon characters, each with distinct features, standing around a large, orange, spherical object that resembles a planet. The characters are dressed in lab coats and are engaged in various activities. One character is holding a magnifying glass and appears to be examining the planet. Another character is holding a test tube and is looking at the planet with a curious expression. The remaining characters are standing and observing the scene. The background is plain white, which contrasts with the vibrant colors of the characters and the planet. There is no visible text in the image. The style of the image is illustrative and cartoonish, with a focus on the characters and their interaction with the planet.
Chinese	难于登天	18227071789.png	The image depicts an illustration of a person standing on a ladder, looking up at a large, glowing moon. The person is wearing a backpack and appears to be gazing at the moon with a contemplative expression. The background is a dark sky filled with stars, and there are also smaller stars and a few larger ones scattered around the scene. The overall style of the image is whimsical and cartoonish, with a limited color palette that emphasizes the contrast between the dark sky and the bright moon and stars.
Chinese	难于登天	64821226429.png	The image depicts an illustration of a person climbing a large, rocky mountain. The mountain is predominantly gray with orange and yellow spots scattered across its surface, suggesting a fiery or volcanic theme. The person is wearing a backpack and is positioned on the left side of the image, reaching out towards the mountain as if attempting to climb it. The background is plain white, which contrasts with the mountain and the person, making them the central focus of the image. There is no visible text in the image. The style of the illustration is detailed and realistic, with a focus on the textures and colors of the mountain and the person's attire.
Chinese	难于登天	75065900579.png	The image depicts an animated character, a woman, who is watering a potted plant. She is wearing an orange apron and has brown hair tied back. The woman is holding a black watering can with a spout, which is spraying water onto the plant. The plant is in an orange pot and has green leaves. The background is plain white, emphasizing the subject. There is no visible text in the image.
Chinese	难于登天	97259135133.png	The image is a digital illustration of a cartoon-style female character with a surprised expression. She has brown hair styled in a bun, large eyes with exaggerated eyebrows, and a small nose. The character is wearing an orange long-sleeved top and dark pants. She is holding a clipboard with a blank tablet in her right hand, which is raised as if she is presenting or questioning something. The tablet has a question mark symbol on it. The background is plain white, emphasizing the character and the clipboard. There is no visible text in the image.
Chinese	脑筋急转弯	35386941627.png	The image shows a collection of intertwined ropes in various shades of orange, black, and brown. The ropes are tightly coiled and appear to be floating or suspended in mid-air against a plain white background. The ropes are not connected to any visible objects or structures, and there is no text present in the image. The style of the image is illustrative and seems to be a digital artwork rather than a photograph.
Chinese	脑筋急转弯	11715827024.png	The image depicts a stylized illustration of a human brain with a black, jagged shape superimposed on it, suggesting a concept of damage or injury. The brain is shown from a side perspective, with the top of the brain facing the viewer. The black shape appears to be a representation of a crack or tear, with lines radiating outward from the center, giving the impression of a sudden, forceful impact. The style of the image is cartoonish and simplistic, with a limited color palette that emphasizes the contrast between the brain's natural color and the black shape. There is no visible text in the image.
Chinese	脑筋急转弯	90737209356.png	The image depicts a stylized illustration of a brain with a thought bubble, which is a common visual metaphor for thinking or ideas. The brain is predominantly white with orange highlights, suggesting a three-dimensional effect. It appears to be floating above a road that curves to the right. The road is rendered in a simplified manner with a yellow center line and white dashed lines on either side, indicating lanes. The background is black, which contrasts with the bright colors of the brain and the road. There is no visible text in the image. The overall style of the image is cartoonish and appears to be designed to convey a concept related to thought, creativity, or intelligence.
Chinese	脑筋急转弯	93742736527.png	The image is a digital illustration of a cartoon-style character. The character has brown hair, glasses, and is wearing an orange shirt. The character is sitting with their arms crossed and appears to be in a state of contemplation or confusion, as suggested by the question marks floating around their head. The background is white with various question marks in different sizes and colors scattered throughout.
Chinese	脑筋急转弯	42265613853.png	The image features a stylized, shattered heart with a vibrant orange color. The heart is depicted in a three-dimensional perspective, with shards of glass-like material flying outward, creating a dynamic sense of movement. The shards are colored in various shades of orange and red, with some having a glossy finish, suggesting a reflective surface. The background is a plain white, which contrasts with the vivid colors of the heart and its fragments. There is no visible text in the image. The overall style of the image is graphic and modern, with a playful and energetic feel.
Chinese	厚颜无耻	11408847180.png	The image is a digital illustration featuring two animated characters. On the left, there is a character with a beard and mustache, wearing a black t-shirt, khaki shorts, and a yellow backpack. This character is holding a sign that reads ""HELP!"" with the word ""HELP!"" in bold, orange letters. The character's right arm is raised, and the hand is open as if reaching out for help.  On the right, there is another character kneeling on the ground with their head bowed. This character is wearing an orange hoodie and has a beard and mustache. The character's posture suggests a state of distress or need.  The background is plain white, which contrasts with the characters and highlights their actions. There is no visible text other than the sign held by the character on the left. The style of the illustration is cartoonish and appears to be designed to convey a message of seeking assistance or support.
Chinese	厚颜无耻	31474743967.png	The image is a close-up digital rendering of a person's face. The person appears to be a woman with fair skin and freckles. She has a prominent nose and her lips are slightly parted. The person's hand is resting on her chin, and her fingers are visible. The background is plain and does not provide any context or additional information. There is no visible text in the image. The style of the image is realistic with a focus on the skin texture and the subtle shading that gives depth to the face.
Chinese	厚颜无耻	83539424221.png	The image depicts a stylized cartoon of a person sitting cross-legged with their eyes closed, suggesting a state of relaxation or sleep. The individual is wearing headphones and has a content expression on their face. The person is dressed in a long-sleeved orange top with a patterned design. There is a small musical note icon next to the person's head, indicating a theme of music or relaxation. The background is plain white, which contrasts with the subject and highlights the character.
Chinese	厚颜无耻	45573532692.png	The image features a 3D animated character, a male warrior, standing against a white background. He is depicted with a muscular build, wearing a detailed armor with a helmet that has a crest on top. The armor is intricately designed with patterns and embellishments, suggesting a historical or fantasy setting. The warrior is holding a shield in his left hand and a sword in his right, both of which are detailed with ornate designs. He has a beard and mustache, and his expression is serious. The character is also wearing a cape that is draped over his shoulder, and there is a large orange flag or banner attached to his back. The overall style of the image is realistic with a focus on detailed textures and shading.
Chinese	厚颜无耻	82495885984.png	The image depicts a cartoon character, a man with a large, round belly, wearing a bright orange shirt and dark pants. He has a mustache and a bald head with a tuft of hair on top. His arms are down by his sides, and he is standing with his legs apart. The character's expression is neutral. There is no visible text in the image.
Chinese	敲门砖	63640174256.png	The image is a digital illustration of a person in mid-run. The individual is wearing an orange hoodie with a pattern of black spots and black pants. They are holding a trophy with both hands, which is black with a gold base and a gold cup on top. The person's hair is black and styled in a short, curly manner. They are wearing black sneakers with white soles. The background is plain white, emphasizing the subject. There is no visible text in the image.
Chinese	敲门砖	79800671780.png	The image shows a close-up of a rusted metal chain against a dark background. The chain appears to be made of a yellowish metal, possibly steel, with visible rust and corrosion. The links of the chain are interlocked, and the rust has caused discoloration and some flaking of the metal. The chain is not in use and is not attached to any other object. There is no visible text in the image. The style of the image is a realistic 3D rendering with a focus on the texture and condition of the chain.
Chinese	敲门砖	16892855894.png	The image depicts a lively scene at a carousel. The carousel is a large, colorful structure with a green base and a vibrant orange top. It features a central tower with a clock face and a bell, and is adorned with bunting and lights.  The carousel is surrounded by a crowd of people, some of whom are seated on benches, while others are standing or walking around the base. The people are dressed in a variety of outfits, suggesting a casual, festive atmosphere.  In the foreground, there are several individuals who appear to be enjoying the carousel. A dog is also visible, adding to the lively ambiance.  The background shows a cityscape with buildings, suggesting that the carousel is located in an urban area. The overall style of the image is illustrative, with a focus on bright colors and a sense of movement and activity.
